county,diabetes,obesity
01001,8.1,30.5
01003,8.7,29.2
01005,9.8,30.3
01007,8.7,30.6
01009,9.6,27.9
01011,8.3,18.4
01013,12.1,29.3
01015,13.9,35.7
01017,10.4,30
01019,9.5,27.9
01021,9.5,36.1
01023,10.8,28.4
01025,10.5,32.2
01027,7.5,23.5
01029,7.3,23.7
01031,10.2,35.3
01033,9.3,30.6
01035,9.9,23.3
01037,8.2,21.6
01039,11.8,37.8
01041,10.3,26.1
01043,10.3,31.7
01045,13.6,35.1
01047,13.1,40.4
01049,9.6,34.9
01051,12,34.1
01053,13.8,32.7
01055,13.7,35.7
01057,8,25.3
01059,8.1,21.1
01061,11.8,29.8
01063,9.5,20.6
01065,11,30.6
01067,8.9,29.4
01069,11.2,36.1
01071,9.3,35.6
01073,11.8,35.1
01075,9.6,24.6
01077,10.2,33.1
01079,9.2,22.6
01081,10.1,30.6
01083,7.5,26.6
01085,10,23.9
01087,13.8,23.2
01089,11,30.7
01091,12.4,36.3
01093,8.5,24.8
01095,10.5,37.7
01097,12.6,37.4
01099,10,33.8
01101,14.8,42.4
01103,10.5,34.4
01105,10.4,25.5
01107,11.9,26.8
01109,11.9,27.9
01111,9.8,33
01113,12.4,29.3
01115,10.6,34.4
01117,9.3,29.9
01119,10.3,26.3
01121,10.5,35.7
01123,10,32.9
01125,11,38.8
01127,9.6,33.2
01129,13.4,33.1
01131,11.1,24.2
01133,8.1,29.9
02013,10.8,26.8
02016,11.5,29.6
02020,7.6,28.7
02050,7.7,28.4
02060,8.4,33.3
02068,6.5,20.7
02070,7.3,31.9
02090,7.3,29.3
02100,7.1,23.1
02105,7.7,21.1
02110,7.5,23.5
02122,7.4,29.5
02130,8.7,34.9
02150,8.5,31.4
02158,8.1,21.8
02164,8.1,20.8
02170,8,32.7
02180,7.6,29.8
02185,10.4,32.7
02188,8.7,32.9
02195,7.6,20.1
02198,9.3,22.2
02201,No Data,No Data
02220,7.3,24.3
02230,6.7,20.6
02232,No Data,No Data
02240,7.5,29.1
02261,No Data,No Data
02270,No Data,No Data
02275,8.3,26.2
02280,No Data,No Data
02282,8.2,17.7
02290,9.6,26.1
04001,14.1,34.9
04003,8.6,30.7
04005,7.1,24.2
04007,9.2,30.2
04009,9.9,31.3
04011,7.5,26.4
04012,7.7,26.2
04013,8.5,28.4
04015,10.3,32.1
04017,11.3,33.7
04019,7.3,26.5
04021,10.6,36.2
04023,9.4,31.5
04025,6.2,26.3
04027,11.3,38.9
05001,11.4,32.5
05003,11.2,32
05005,7.5,25.9
05007,8.4,27.1
05009,9.3,30.8
05011,8,26.6
05013,9.4,20.8
05015,8.7,28.5
05017,9.2,29.7
05019,9.8,30.7
05021,9.7,28.5
05023,8.3,32.1
05025,9.7,28
05027,11.1,31.5
05029,8.6,27.9
05031,10.3,40
05033,10,34.4
05035,11.8,38.3
05037,11.1,31.8
05039,9,20
05041,10,28.6
05043,9,28.4
05045,10.4,31.8
05047,8.9,24.1
05049,9.2,23.3
05051,9.9,25.7
05053,8.5,30.1
05055,12.8,32.3
05057,10.5,30.5
05059,8.4,29.8
05061,8.2,26.4
05063,8.2,30.5
05065,7.8,24.6
05067,9.3,23.3
05069,14.8,39.8
05071,10.1,33.2
05073,8.2,19.9
05075,8.3,34.5
05077,10.4,27.8
05079,8.1,21.9
05081,7.8,22.7
05083,9.9,33.8
05085,10.7,33
05087,7.5,25.1
05089,8.8,23.6
05091,11.8,28.9
05093,12.3,38.1
05095,9.4,22.6
05097,7.5,25.4
05099,8.7,20.8
05101,8.1,27.1
05103,10.3,29.8
05105,9.2,23
05107,14.3,36.7
05109,8.5,24.4
05111,9.6,32.1
05113,8.8,25.8
05115,10.3,37.2
05117,8,23.9
05119,10,34.6
05121,10.3,27.4
05123,11.7,36.1
05125,9,35.3
05127,7.6,19.9
05129,7,20.9
05131,11,30.6
05133,10.4,32.6
05135,8.4,31.1
05137,6.9,29.6
05139,10.7,38.1
05141,12.1,32.6
05143,10.3,31
05145,10.7,35.9
05147,8.2,23.4
05149,9.1,29.9
06001,7.4,23.5
06003,7.4,17.6
06005,7.4,21.3
06007,6.7,30.4
06009,6.5,22.5
06011,6.9,19
06013,8.7,25.3
06015,7.4,18.5
06017,7.1,25
06019,10.6,36.8
06021,7.3,19.6
06023,7.3,22.9
06025,8.7,32.1
06027,7.3,18.4
06029,10.5,33.4
06031,9.9,27.4
06033,7.7,24.6
06035,7.8,17.9
06037,8.8,25.5
06039,9.2,29.1
06041,7,16.2
06043,6.9,16.9
06045,7.1,24.1
06047,9.3,33.7
06049,7.1,17.8
06051,7,18.8
06053,8.8,31.3
06055,7.5,23.2
06057,5.7,19.4
06059,8.5,22.3
06061,6.3,23
06063,7.1,19
06065,9.3,32.2
06067,8.6,28.7
06069,7.8,20.2
06071,10.2,35.7
06073,7.4,24.3
06075,9.2,14.3
06077,8.8,32.3
06079,7,22.7
06081,8.3,18.9
06083,7.3,24.7
06085,8.5,20.7
06087,7.8,20.5
06089,7.1,23.3
06091,6.8,18.8
06093,6.9,21.3
06095,9.4,29.4
06097,6.6,23.2
06099,9,31.6
06101,8.5,23.1
06103,7.1,28
06105,7.1,17.5
06107,10.2,34.5
06109,7.6,17.5
06111,7.5,25.9
06113,9,27.6
06115,7.7,23.6
08001,8.6,30.7
08003,8.2,25.9
08005,7.1,24.1
08007,6.5,16.2
08009,7.7,19.8
08011,8.1,19.2
08013,4.9,15.5
08014,6.4,24.3
08015,5.8,18.9
08017,7.1,18.5
08019,6.1,19.3
08021,7.3,17.8
08023,7.2,17.4
08025,7.2,18.4
08027,7.7,18
08029,6.6,22.2
08031,6.8,19.8
08033,7.4,18.3
08035,4.8,18.9
08037,5.4,17.3
08039,7,25
08041,6.9,26
08043,8.3,26.9
08045,5.8,18.9
08047,6.7,16.1
08049,7.2,18.1
08051,6.6,16.6
08053,7,17.8
08055,9.1,17.8
08057,7.5,18
08059,5.5,22
08061,7.4,19.3
08063,6.3,21.8
08065,7.2,21.1
08067,5.9,21.4
08069,5.9,21.5
08071,8.5,26.3
08073,7.4,21.5
08075,8.2,26.8
08077,7.3,27.3
08079,6.9,17.8
08081,7.3,20.6
08083,7.3,22.5
08085,7.8,24.4
08087,7.8,40.7
08089,8.1,29.9
08091,6.3,17.9
08093,6.1,20
08095,7.8,22.5
08097,5.8,16.7
08099,8.2,31.9
08101,9.2,30.8
08103,6.3,19.1
08105,7.3,20
08107,6.5,14.5
08109,6.7,18.9
08111,6.9,17.9
08113,7.1,18.4
08115,6.7,20.8
08117,5,14.1
08119,6.9,21.2
08121,7.5,23.9
08123,8.2,31
08125,7.9,22
09001,6.1,22
09003,8.7,29.8
09005,5.9,27.2
09007,6.7,27.6
09009,9.4,31.9
09011,7.4,32.1
09013,7.6,26.2
09015,9.6,31.5
10001,11.9,38.7
10003,10,32.3
10005,9.3,35.4
11001,8.1,23.9
12001,9.4,28.7
12003,11.9,34.6
12005,10.3,31.1
12007,11.6,34.9
12009,9.8,29.7
12011,8.3,26.2
12013,10.2,34.8
12015,7.1,27.5
12017,8.9,30.5
12019,11.8,33
12021,6.3,19.4
12023,11.3,33.9
12027,11.4,33.9
12029,10.3,33.4
12031,11.8,33.2
12033,11.2,31.5
12035,8.3,31.1
12037,8.4,32.4
12039,15.9,36.1
12041,9.4,30.3
12043,11.1,30.1
12045,9.4,26.6
12047,10,30.8
12049,11.6,37.8
12051,11.5,34.3
12053,10.1,34.2
12055,11.8,32.6
12057,9.2,27.8
12059,12.9,37.9
12061,8,27.3
12063,13.3,35.3
12065,8.9,27.1
12067,9.3,31.4
12069,11,34.2
12071,7.6,24
12073,8.3,28.8
12075,11.7,35
12077,10.8,35.3
12079,12.6,35.4
12081,9.2,27.1
12083,8.6,36.7
12085,6.9,19.8
12086,8,23.3
12087,6.8,24.7
12089,9,30
12091,8.3,26.6
12093,10,32.1
12095,9.2,29.9
12097,11.6,34.1
