value,year,age,sex
968,1841,0,M
993,1842,0,M
1025,1843,0,M
795,1844,0,M
859,1845,0,M
890,1846,0,M
613,1847,0,M
706,1848,0,M
870,1849,0,M
890,1850,0,M
886,1851,0,M
999,1852,0,M
1020,1853,0,M
1059,1854,0,M
1075,1855,0,M
960,1856,0,M
931,1857,0,M
1057,1858,0,M
1132,1859,0,M
1054,1860,0,M
909,1861,0,M
979,1862,0,M
1047,1863,0,M
1092,1864,0,M
1127,1865,0,M
1171,1866,0,M
981,1867,0,M
1047,1868,0,M
893,1869,0,M
786,1870,0,M
912,1871,0,M
900,1872,0,M
849,1873,0,M
1003,1874,0,M
978,1875,0,M
943,1876,0,M
976,1877,0,M
943,1878,0,M
987,1879,0,M
991,1880,0,M
966,1881,0,M
1023,1882,0,M
781,1883,0,M
883,1884,0,M
1045,1885,0,M
967,1886,0,M
962,1887,0,M
890,1888,0,M
873,1889,0,M
1029,1890,0,M
872,1891,0,M
1060,1892,0,M
1054,1893,0,M
1108,1894,0,M
992,1895,0,M
1052,1896,0,M
1115,1897,0,M
1116,1898,0,M
1034,1899,0,M
1051,1900,0,M
1017,1901,0,M
1022,1902,0,M
1026,1903,0,M
1080,1904,0,M
1144,1905,0,M
1071,1906,0,M
1164,1907,0,M
1071,1908,0,M
1050,1909,0,M
1106,1910,0,M
1088,1911,0,M
1031,1912,0,M
1094,1913,0,M
1079,1914,0,M
1095,1915,0,M
1184,1916,0,M
1186,1917,0,M
1190,1918,0,M
1164,1919,0,M
1102,1920,0,M
1279,1921,0,M
1284,1922,0,M
1211,1923,0,M
1275,1924,0,M
1258,1925,0,M
1279,1926,0,M
1300,1927,0,M
1302,1928,0,M
1272,1929,0,M
1281,1930,0,M
1340,1931,0,M
1417,1932,0,M
1344,1933,0,M
1248,1934,0,M
1271,1935,0,M
1223,1936,0,M
1217,1937,0,M
1231,1938,0,M
1199,1939,0,M
1152,1940,0,M
1172,1941,0,M
1285,1942,0,M
1469,1943,0,M
1540,1944,0,M
1634,1945,0,M
1740,1946,0,M
1770,1947,0,M
1889,1948,0,M
1863,1949,0,M
1954,1950,0,M
2126,1951,0,M
1949,1952,0,M
2108,1953,0,M
2175,1954,0,M
2197,1955,0,M
2237,1956,0,M
2343,1957,0,M
2425,1958,0,M
2307,1959,0,M
2459,1960,0,M
2514,1961,0,M
2351,1962,0,M
2363,1963,0,M
2421,1964,0,M
2326,1965,0,M
2419,1966,0,M
2342,1967,0,M
2196,1968,0,M
2193,1969,0,M
2121,1970,0,M
1993,1971,0,M
2146,1972,0,M
2309,1973,0,M
2367,1974,0,M
2132,1975,0,M
2176,1976,0,M
2169,1977,0,M
1991,1978,0,M
2078,1979,0,M
2288,1980,0,M
2302,1981,0,M
2271,1982,0,M
2270,1983,0,M
2202,1984,0,M
2123,1985,0,M
1891,1986,0,M
1979,1987,0,M
2202,1988,0,M
2423,1989,0,M
2304,1990,0,M
2406,1991,0,M
2346,1992,0,M
2400,1993,0,M
2329,1994,0,M
2303,1995,0,M
2231,1996,0,M
2231,1997,0,M
2159,1998,0,M
2158,1999,0,M
2041,2000,0,M
2230,2001,0,M
2128,2002,0,M
2094,2003,0,M
2115,2004,0,M
2191,2005,0,M
2212,2006,0,M
2264,2007,0,M
2381,2008,0,M
2485,2009,0,M
2533,2010,0,M
2525,2011,0,M
2319,2012,0,M
2320,2013,0,M
2135,2014,0,M
2225,2015,0,M
2111,2016,0,M
2053,2017,0,M
2121,2018,0,M
2240,2019,0,M
587,1841,1,M
671,1842,1,M
723,1843,1,M
719,1844,1,M
641,1845,1,M
725,1846,1,M
681,1847,1,M
539,1848,1,M
613,1849,1,M
705,1850,1,M
823,1851,1,M
677,1852,1,M
880,1853,1,M
920,1854,1,M
949,1855,1,M
989,1856,1,M
925,1857,1,M
885,1858,1,M
993,1859,1,M
946,1860,1,M
813,1861,1,M
748,1862,1,M
752,1863,1,M
944,1864,1,M
930,1865,1,M
991,1866,1,M
1041,1867,1,M
920,1868,1,M
948,1869,1,M
774,1870,1,M
735,1871,1,M
790,1872,1,M
686,1873,1,M
772,1874,1,M
901,1875,1,M
857,1876,1,M
857,1877,1,M
888,1878,1,M
877,1879,1,M
919,1880,1,M
913,1881,1,M
791,1882,1,M
707,1883,1,M
650,1884,1,M
824,1885,1,M
981,1886,1,M
899,1887,1,M
863,1888,1,M
837,1889,1,M
821,1890,1,M
914,1891,1,M
832,1892,1,M
1009,1893,1,M
1012,1894,1,M
1025,1895,1,M
961,1896,1,M
984,1897,1,M
1052,1898,1,M
1017,1899,1,M
971,1900,1,M
971,1901,1,M
987,1902,1,M
929,1903,1,M
948,1904,1,M
1026,1905,1,M
1076,1906,1,M
1013,1907,1,M
1078,1908,1,M
965,1909,1,M
1007,1910,1,M
1030,1911,1,M
1027,1912,1,M
994,1913,1,M
1050,1914,1,M
1034,1915,1,M
1050,1916,1,M
1109,1917,1,M
1154,1918,1,M
1164,1919,1,M
1138,1920,1,M
1059,1921,1,M
1254,1922,1,M
1242,1923,1,M
1182,1924,1,M
1224,1925,1,M
1249,1926,1,M
1254,1927,1,M
1234,1928,1,M
1291,1929,1,M
1277,1930,1,M
1268,1931,1,M
1327,1932,1,M
1391,1933,1,M
1325,1934,1,M
1223,1935,1,M
1227,1936,1,M
1203,1937,1,M
1185,1938,1,M
1223,1939,1,M
1191,1940,1,M
1153,1941,1,M
1160,1942,1,M
1249,1943,1,M
1459,1944,1,M
1517,1945,1,M
1597,1946,1,M
1731,1947,1,M
1750,1948,1,M
1872,1949,1,M
1856,1950,1,M
1931,1951,1,M
2100,1952,1,M
1940,1953,1,M
2089,1954,1,M
2161,1955,1,M
2191,1956,1,M
2219,1957,1,M
2333,1958,1,M
2409,1959,1,M
2301,1960,1,M
2436,1961,1,M
2451,1962,1,M
2310,1963,1,M
2360,1964,1,M
2423,1965,1,M
2321,1966,1,M
2425,1967,1,M
2364,1968,1,M
2203,1969,1,M
2151,1970,1,M
2059,1971,1,M
2009,1972,1,M
2164,1973,1,M
2308,1974,1,M
2331,1975,1,M
2142,1976,1,M
2145,1977,1,M
2172,1978,1,M
1990,1979,1,M
2065,1980,1,M
2275,1981,1,M
2301,1982,1,M
2259,1983,1,M
2263,1984,1,M
2170,1985,1,M
2096,1986,1,M
1885,1987,1,M
2007,1988,1,M
2222,1989,1,M
2403,1990,1,M
2268,1991,1,M
2426,1992,1,M
2359,1993,1,M
2394,1994,1,M
2321,1995,1,M
2293,1996,1,M
2234,1997,1,M
2237,1998,1,M
2174,1999,1,M
2175,2000,1,M
2055,2001,1,M
2227,2002,1,M
2128,2003,1,M
2085,2004,1,M
2121,2005,1,M
2190,2006,1,M
2238,2007,1,M
2294,2008,1,M
2401,2009,1,M
2460,2010,1,M
2507,2011,1,M
2493,2012,1,M
2321,2013,1,M
2327,2014,1,M
2151,2015,1,M
2223,2016,1,M
2132,2017,1,M
2085,2018,1,M
2138,2019,1,M
569,1841,2,M
568,1842,2,M
659,1843,2,M
702,1844,2,M
714,1845,2,M
635,1846,2,M
642,1847,2,M
666,1848,2,M
526,1849,2,M
585,1850,2,M
675,1851,2,M
774,1852,2,M
662,1853,2,M
874,1854,2,M
910,1855,2,M
939,1856,2,M
978,1857,2,M
889,1858,2,M
848,1859,2,M
955,1860,2,M
845,1861,2,M
768,1862,2,M
720,1863,2,M
732,1864,2,M
920,1865,2,M
890,1866,2,M
967,1867,2,M
1000,1868,2,M
893,1869,2,M
904,1870,2,M
755,1871,2,M
715,1872,2,M
750,1873,2,M
665,1874,2,M
738,1875,2,M
855,1876,2,M
800,1877,2,M
830,1878,2,M
859,1879,2,M
851,1880,2,M
897,1881,2,M
870,1882,2,M
715,1883,2,M
641,1884,2,M
631,1885,2,M
797,1886,2,M
948,1887,2,M
875,1888,2,M
836,1889,2,M
821,1890,2,M
802,1891,2,M
891,1892,2,M
826,1893,2,M
990,1894,2,M
999,1895,2,M
1012,1896,2,M
947,1897,2,M
979,1898,2,M
1034,1899,2,M
1002,1900,2,M
960,1901,2,M
960,1902,2,M
970,1903,2,M
909,1904,2,M
942,1905,2,M
1016,1906,2,M
1066,1907,2,M
1003,1908,2,M
1056,1909,2,M
963,1910,2,M
994,1911,2,M
1017,1912,2,M
1016,1913,2,M
986,1914,2,M
1041,1915,2,M
1024,1916,2,M
1038,1917,2,M
1108,1918,2,M
1140,1919,2,M
1161,1920,2,M
1133,1921,2,M
1047,1922,2,M
1245,1923,2,M
1229,1924,2,M
1165,1925,2,M
1239,1926,2,M
1241,1927,2,M
1243,1928,2,M
1248,1929,2,M
1286,1930,2,M
1274,1931,2,M
1259,1932,2,M
1322,1933,2,M
1387,1934,2,M
1315,1935,2,M
1215,1936,2,M
1215,1937,2,M
1197,1938,2,M
1182,1939,2,M
1221,1940,2,M
1189,1941,2,M
1145,1942,2,M
1156,1943,2,M
1246,1944,2,M
1453,1945,2,M
1512,1946,2,M
1591,1947,2,M
1730,1948,2,M
1742,1949,2,M
1868,1950,2,M
1855,1951,2,M
1926,1952,2,M
2095,1953,2,M
1940,1954,2,M
2087,1955,2,M
2160,1956,2,M
2186,1957,2,M
2218,1958,2,M
2324,1959,2,M
2410,1960,2,M
2291,1961,2,M
2456,1962,2,M
2471,1963,2,M
2310,1964,2,M
2362,1965,2,M
2431,1966,2,M
2337,1967,2,M
2487,1968,2,M
2371,1969,2,M
2180,1970,2,M
2130,1971,2,M
2055,1972,2,M
2008,1973,2,M
2161,1974,2,M
2325,1975,2,M
2327,1976,2,M
2115,1977,2,M
2111,1978,2,M
2163,1979,2,M
1981,1980,2,M
2062,1981,2,M
2277,1982,2,M
2307,1983,2,M
2273,1984,2,M
2254,1985,2,M
2160,1986,2,M
2100,1987,2,M
1892,1988,2,M
2005,1989,2,M
2210,1990,2,M
2381,1991,2,M
2270,1992,2,M
2447,1993,2,M
2355,1994,2,M
2393,1995,2,M
2295,1996,2,M
2280,1997,2,M
2202,1998,2,M
2236,1999,2,M
2181,2000,2,M
2181,2001,2,M
2048,2002,2,M
2218,2003,2,M
2118,2004,2,M
2087,2005,2,M
2137,2006,2,M
2210,2007,2,M
2249,2008,2,M
2333,2009,2,M
2387,2010,2,M
2437,2011,2,M
2490,2012,2,M
2495,2013,2,M
2329,2014,2,M
2333,2015,2,M
2150,2016,2,M
2236,2017,2,M
2164,2018,2,M
2110,2019,2,M
608,1841,3,M
567,1842,3,M
564,1843,3,M
657,1844,3,M
700,1845,3,M
709,1846,3,M
629,1847,3,M
635,1848,3,M
658,1849,3,M
503,1850,3,M
558,1851,3,M
634,1852,3,M
767,1853,3,M
658,1854,3,M
871,1855,3,M
904,1856,3,M
920,1857,3,M
948,1858,3,M
856,1859,3,M
820,1860,3,M
895,1861,3,M
802,1862,3,M
753,1863,3,M
707,1864,3,M
706,1865,3,M
899,1866,3,M
868,1867,3,M
945,1868,3,M
977,1869,3,M
866,1870,3,M
891,1871,3,M
736,1872,3,M
698,1873,3,M
728,1874,3,M
641,1875,3,M
704,1876,3,M
821,1877,3,M
782,1878,3,M
812,1879,3,M
831,1880,3,M
835,1881,3,M
871,1882,3,M
833,1883,3,M
662,1884,3,M
628,1885,3,M
