ID,greek_letter,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude
3,,Psc,00,05,20.1,-05,42,27,4.61
15,alf,And,00,08,23.2,+29,05,26,2.06
21,bet,Cas,00,09,10.6,+59,08,59,2.27
25,eps,Phe,00,09,24.6,-45,44,51,3.87
33,,Cet,00,11,15.8,-15,28,05,4.89
39,gam,Peg,00,13,14.1,+15,11,01,2.84
45,chi,Peg,00,14,36.1,+20,12,24,4.80
48,,Cet,00,14,38.3,-18,55,58,4.46
63,tet,And,00,17,05.4,+38,40,54,4.61
68,sig,And,00,18,19.6,+36,47,07,4.52
74,iot,Cet,00,19,25.6,-08,49,26,3.55
77,zet,Tuc,00,20,04.2,-64,52,30,4.23
98,bet,Hyi,00,25,45.3,-77,15,16,2.79
99,alf,Phe,00,26,17.0,-42,18,22,2.38
100,kap,Phe,00,26,12.1,-43,40,48,3.93
105,eta,Scl,00,27,55.7,-33,00,26,4.81
123,lam,Cas,00,31,46.3,+54,31,20,4.73
125,lam1,Phe,00,31,24.9,-48,48,13,4.77
126,bet1,Tuc,00,31,32.7,-62,57,30,4.37
127,bet2,Tuc,00,31,33.6,-62,57,57,4.54
130,kap,Cas,00,32,59.9,+62,55,55,4.16
153,zet,Cas,00,36,58.2,+53,53,49,3.66
154,pi,And,00,36,52.8,+33,43,10,4.36
163,eps,And,00,38,33.3,+29,18,43,4.38
165,del,And,00,39,19.6,+30,51,40,3.28
168,alf,Cas,00,40,30.4,+56,32,15,2.23
179,xi,Cas,00,42,03.8,+50,30,45,4.81
180,mu,Phe,00,41,19.5,-46,05,06,4.59
184,pi,Cas,00,43,28.0,+47,01,29,4.94
188,bet,Cet,00,43,35.3,-17,59,12,2.01
191,eta,Phe,00,43,21.2,-57,27,47,4.36
193,omi,Cas,00,44,43.5,+48,17,04,4.50
194,phi1,Cet,00,44,11.3,-10,36,34,4.75
215,zet,And,00,47,20.3,+24,16,02,4.06
219,eta,Cas,00,49,06.0,+57,48,58,3.44
223,nu,Cas,00,48,50.0,+50,58,06,4.89
224,del,Psc,00,48,40.9,+07,35,06,4.44
226,nu,And,00,49,48.8,+41,04,44,4.53
244,,,00,53,04.1,+61,07,27,4.80
248,,Cet,00,53,00.4,-01,08,40,4.76
253,ups1,Cas,00,55,00.0,+58,58,22,4.84
264,gam,Cas,00,56,42.4,+60,43,00,2.47
265,ups2,Cas,00,56,39.7,+59,10,52,4.64
269,mu,And,00,56,45.1,+38,29,58,3.87
271,eta,And,00,57,12.4,+23,25,04,4.42
280,alf,Scl,00,58,36.3,-29,21,28,4.27
285,,,01,08,44.9,+86,15,26,4.26
294,eps,Psc,01,02,56.5,+07,53,24,4.28
322,bet,Phe,01,06,05.0,-46,43,08,3.30
334,eta,Cet,01,08,35.3,-10,10,56,3.44
335,phi,And,01,09,30.1,+47,14,31,4.25
337,bet,And,01,09,43.9,+35,37,14,2.05
338,zet,Phe,01,08,23.0,-55,14,45,3.92
343,tet,Cas,01,11,06.1,+55,09,00,4.34
351,chi,Psc,01,11,27.1,+21,02,05,4.66
352,tau,Psc,01,11,39.6,+30,05,23,4.51
360,phi,Psc,01,13,44.8,+24,35,01,4.66
370,nu,Phe,01,15,11.1,-45,31,54,4.96
377,kap,Tuc,01,15,46.2,-68,52,34,4.86
382,phi,Cas,01,20,04.8,+58,13,54,4.99
383,ups,Psc,01,19,27.9,+27,15,51,4.76
390,xi,And,01,22,20.3,+45,31,44,4.90
399,psi,Cas,01,25,56.0,+68,07,48,4.74
402,tet,Cet,01,24,01.3,-08,11,01,3.59
403,del,Cas,01,25,48.9,+60,14,07,2.68
412,,Cet,01,25,37.1,-14,35,56,4.90
417,omg,And,01,27,39.2,+45,24,25,4.82
