Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.21,-.18,-.27,-.14,-.29,-.24,-.08,-.17,-.16,-.19,-.22,-.20,***,***,-.20,-.20,-.17
1881,-.10,-.14,.01,-.03,-.04,-.28,-.07,-.03,-.09,-.20,-.26,-.16,-.12,-.12,-.15,-.02,-.13,-.19
1882,.09,.08,.01,-.20,-.18,-.25,-.11,.03,-.01,-.23,-.21,-.25,-.10,-.09,.00,-.12,-.11,-.15
1883,-.34,-.42,-.18,-.25,-.26,-.13,-.09,-.14,-.19,-.12,-.21,-.19,-.21,-.22,-.34,-.23,-.12,-.18
1884,-.18,-.13,-.36,-.36,-.32,-.38,-.35,-.27,-.24,-.22,-.30,-.30,-.28,-.28,-.17,-.35,-.33,-.25
1885,-.66,-.30,-.24,-.45,-.42,-.50,-.29,-.27,-.19,-.20,-.22,-.07,-.32,-.33,-.42,-.37,-.35,-.20
1886,-.43,-.46,-.41,-.29,-.27,-.39,-.16,-.31,-.19,-.25,-.26,-.25,-.31,-.29,-.32,-.33,-.29,-.23
1887,-.66,-.48,-.32,-.37,-.33,-.21,-.19,-.28,-.19,-.32,-.25,-.38,-.33,-.32,-.46,-.34,-.22,-.26
1888,-.43,-.43,-.47,-.28,-.22,-.20,-.10,-.11,-.07,.01,.00,-.12,-.20,-.22,-.41,-.33,-.14,-.02
1889,-.21,.14,.04,.04,-.03,-.12,-.05,-.18,-.18,-.22,-.32,-.31,-.12,-.10,-.06,.02,-.11,-.24
1890,-.48,-.48,-.41,-.38,-.48,-.27,-.30,-.36,-.36,-.23,-.37,-.30,-.37,-.37,-.42,-.42,-.31,-.32
1891,-.46,-.49,-.15,-.25,-.17,-.22,-.22,-.21,-.13,-.24,-.37,-.03,-.24,-.27,-.42,-.19,-.21,-.25
1892,-.26,-.15,-.36,-.35,-.25,-.20,-.28,-.20,-.25,-.17,-.49,-.29,-.27,-.25,-.14,-.32,-.23,-.30
1893,-.69,-.51,-.24,-.32,-.35,-.24,-.14,-.24,-.18,-.16,-.17,-.38,-.30,-.30,-.50,-.31,-.21,-.17
1894,-.55,-.31,-.20,-.41,-.30,-.43,-.32,-.29,-.23,-.17,-.25,-.22,-.31,-.32,-.42,-.30,-.35,-.22
1895,-.44,-.42,-.30,-.23,-.23,-.25,-.16,-.16,-.02,-.11,-.15,-.12,-.21,-.22,-.36,-.25,-.19,-.09
1896,-.23,-.15,-.29,-.33,-.19,-.13,-.06,-.09,-.05,.04,-.16,-.12,-.15,-.15,-.16,-.27,-.10,-.06
1897,-.22,-.19,-.12,-.01,.00,-.12,-.04,-.03,-.04,-.10,-.18,-.26,-.11,-.10,-.18,-.05,-.06,-.10
1898,-.06,-.34,-.55,-.33,-.35,-.20,-.22,-.22,-.19,-.32,-.35,-.22,-.28,-.28,-.22,-.41,-.22,-.28
1899,-.18,-.39,-.35,-.21,-.20,-.26,-.13,-.04,.00,.00,.12,-.27,-.16,-.15,-.26,-.25,-.14,.04
1900,-.40,-.08,.02,-.14,-.06,-.15,-.09,-.04,.01,.08,-.13,-.14,-.09,-.10,-.25,-.06,-.09,-.01
1901,-.30,-.05,.05,-.06,-.18,-.10,-.09,-.13,-.17,-.29,-.17,-.30,-.15,-.13,-.16,-.06,-.11,-.21
1902,-.19,-.03,-.29,-.27,-.31,-.34,-.26,-.28,-.20,-.27,-.36,-.46,-.27,-.26,-.18,-.29,-.29,-.28
1903,-.27,-.06,-.23,-.39,-.41,-.44,-.30,-.44,-.43,-.42,-.38,-.47,-.35,-.35,-.26,-.34,-.39,-.41
