State,Joined,Population 2006,Population 2017,Sep 1952,Mar 1957,Jan 1973,Jun 1979,Jan 1981,Jan 1986,Jun 1994,Jan 1995,May 2004,Jun 2004,Jan 2007,Jun 2009,Dec 2011,Jul 2013,Jun 2014,Feb 2020
Germany,1951,82428000,82521653,18,36,36,81,81,81,99,99,99,99,99,99,99,99,96,96
France,1951,62886000,66989083,18,36,36,81,81,81,87,87,87,78,78,72,74,74,74,79
United Kingdom,1973,60422000,65808573,,,36,81,81,81,87,87,87,78,78,72,73,73,73,
Italy,1951,58752000,60589445,18,36,36,81,81,81,87,87,87,78,78,72,73,73,73,76
Spain,1986,43758000,46528024,,,,,,60,64,64,64,54,54,50,54,54,54,59
Poland,2004,38157000,37972964,,,,,,,,,54,54,54,50,51,51,51,52
Romania,2007,21610000,19644350,,,,,,,,,,,35,33,33,33,32,33
Netherlands,1951,16334000,17081507,10,14,14,25,25,25,31,31,31,27,27,25,26,26,26,29
Belgium,1951,10511000,11351727,10,14,14,24,24,24,25,25,25,24,24,22,22,22,21,21
Greece,1981,11125000,10768193,,,,,24,24,25,25,25,24,24,22,22,22,21,21
Czech Republic,2004,10251000,10578820,,,,,,,,,24,24,24,22,22,22,21,21
Portugal,1986,10570000,10309573,,,,,,24,25,25,25,24,24,22,22,22,21,21
Sweden,1995,9048000,9995153,,,,,,,,22,22,19,19,18,20,20,20,21
Hungary,2004,10077000,9797561,,,,,,,,,24,24,24,22,22,22,21,21
Austria,1995,8266000,8772865,,,,,,,,21,21,18,18,17,19,19,18,19
Bulgaria,2007,7719000,7101859,,,,,,,,,,,18,17,18,18,17,17
Denmark,1973,5428000,5748769,,,10,16,16,16,16,16,16,14,14,13,13,13,13,14
Finland,1995,5256000,5503297,,,,,,,,16,16,14,14,13,13,13,13,14
Slovakia,2004,5389000,5435343,,,,,,,,,14,14,14,13,13,13,13,14
Ireland,1973,4209000,4784383,,,10,15,15,15,15,15,15,13,13,12,12,12,11,13
Croatia,2013,4443000,4154213,,,,,,,,,,,,,,12,11,12
Lithuania,2004,3403000,2847904,,,,,,,,,13,13,13,12,12,12,11,11
Slovenia,2004,2003000,2065895,,,,,,,,,7,7,7,7,8,8,8,8
Latvia,2004,2295000,1950116,,,,,,,,,9,9,9,8,9,9,8,8
Estonia,2004,1344000,1315635,,,,,,,,,6,6,6,6,6,6,6,7
Cyprus,2004,766000,854802,,,,,,,,,6,6,6,6,6,6,6,6
Luxembourg,1951,460000,590667,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Malta,2004,404000,460297,,,,,,,,,5,5,5,5,6,6,6,6
